*****MoneyPuck.com Player and Team Data******,
I_F_savedShotsOnGoal,Number of the player's unblocked shots that were saved by the goalie
I_F_savedUnblockedShotAttempts,Number of the player's unblocked shots that were saved by the goalie or missed the net
penalties,Number of penalties the player has received. Both majors and minors both count as '1'
I_F_penalityMinutes,Number of penalty minutes the player has received
I_F_faceOffsWon,Number of faceoffs the player has won
I_F_hits,Number of hits the player has given
I_F_takeaways,Number of takeaways the player has taken from opponents
I_F_giveaways,Number of giveaways the player has given to other team
I_F_lowDangerShots,Low danger shots (<8% xGoal value)
I_F_mediumDangerShots,Medium danger shots (Between 8% and 20% xGoal Value)
I_F_highDangerShots,High Danger Shots (Higher than 20% xGoal Value)
I_F_lowDangerxGoals,Sum of expected goals from low danger shots
I_F_mediumDangerxGoals,Sum of expected goals from medium danger shots
I_F_highDangerxGoals,Sum of expected goals from high danger shots
I_F_lowDangerGoals,Goals from low danger shots
I_F_mediumDangerGoals,Goals from medium danger shots
I_F_highDangerGoals,Goals from high danger shots
I_F_scoreAdjustedShotsAttempts,Shot attempts adjusted for score and venue
I_F_unblockedShotAttempts,All shot attempts that weren't blocked
I_F_scoreAdjustedUnblockedShotAttempts,Unblocked shot attempts adjusted for score and venue
I_F_dZoneGiveaways,Giveaways in the team's defensive zone
I_F_xGoalsFromxReboundsOfShots,"Expected Goals from Expected Rebounds of player's shots. Even if a shot does not actually generate a rebound, if it's a shot that is likely to generate a rebound the player is credited with xGoalsFromxRebounds"
I_F_xGoalsFromActualReboundsOfShots,Expected Goals from actual rebounds shots of player's shots. 
I_F_reboundxGoals,Expected Goal on rebound shots
I_F_xGoals_with_earned_rebounds,"xGoals With Earned Rebounds. Also known as 'Created Expected Goals': Expected Goals of non-rebound shots + xGoals of xRebounds of all shots. This metric gives credit to the player that created the original shot, opposed to the player getting the rebound. See http://moneypuck.com/about.htm#xRebounds for more info"
I_F_xGoals_with_earned_rebounds_scoreAdjusted,Score adjusted xGoals With Earned Rebounds
I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,Score and flurry adjusted xGoals With Earned Rebounds
I_F_shifts,Number of shifts a player had
I_F_oZoneShiftStarts,Number of offensive zone face-off shift starts a player had
I_F_dZoneShiftStarts,Number of defensive zone face-off shift starts a player had
I_F_neutralZoneShiftStarts,Number of neutral zone face-off shift starts a player had
I_F_flyShiftStarts,Number of shift starts on the fly a player had
I_F_oZoneShiftEnds,Number of player's shifts that end with an offensive zone faceoff for the oncoming players
I_F_dZoneShiftEnds,Number of player's shifts that end with a defensive zone faceoff for the oncoming players
I_F_neutralZoneShiftEnds,Number of player's shifts that end with a neutral zone faceoff for the oncoming players
I_F_flyShiftEnds,Number of player's shifts that end on the fly
faceoffsWon,Number of faceoffs the player has won
faceoffsLost,Number of faceoffs the player has lost
timeOnBench,Amount of time the player has been on the bench for. (in seconds)
penalityMinutes,Number of penalty minutes the player has received
penalityMinutesDrawn,Number of penalty minutes the player has drawn
penaltiesDrawn,Number of penalties the player has drawn
shotsBlockedByPlayer,Number of shot attempts blocked by the player
OnIce_F_xOnGoal,"""On Ice For"" version of xOnGoal stat. Gives credit to all of the team's players on the ice for the event, opposed to just the player who did the event"
OnIce_F_xGoals,See above
OnIce_F_flurryAdjustedxGoals,See above
OnIce_F_scoreVenueAdjustedxGoals,See above
OnIce_F_flurryScoreVenueAdjustedxGoals,See above
OnIce_F_shotsOnGoal,See above
OnIce_F_missedShots,See above
OnIce_F_blockedShotAttempts,See above
OnIce_F_shotAttempts,See above
OnIce_F_goals,See above
OnIce_F_rebounds,See above
OnIce_F_reboundGoals,See above
OnIce_F_lowDangerShots,See above
OnIce_F_mediumDangerShots,See above
OnIce_F_highDangerShots,See above
OnIce_F_lowDangerxGoals,See above
OnIce_F_mediumDangerxGoals,See above
OnIce_F_highDangerxGoals,See above
OnIce_F_lowDangerGoals,See above
OnIce_F_mediumDangerGoals,See above
OnIce_F_highDangerGoals,See above
OnIce_F_scoreAdjustedShotsAttempts,See above
OnIce_F_unblockedShotAttempts,See above
OnIce_F_scoreAdjustedUnblockedShotAttempts,See above
OnIce_F_xGoalsFromxReboundsOfShots,See above
OnIce_F_xGoalsFromActualReboundsOfShots,See above
OnIce_F_reboundxGoals,See above
OnIce_F_xGoals_with_earned_rebounds,See above
OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,See above
OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,See above
OnIce_A_xOnGoal,"""On Ice Against"" version of xOnGoal stat. Gives 'credit' to all of the opposing team's player on ice for the event."
OnIce_A_xGoals,See above
OnIce_A_flurryAdjustedxGoals,See above
OnIce_A_scoreVenueAdjustedxGoals,See above
OnIce_A_flurryScoreVenueAdjustedxGoals,See above
OnIce_A_shotsOnGoal,See above
OnIce_A_missedShots,See above
OnIce_A_blockedShotAttempts,See above
OnIce_A_shotAttempts,See above
OnIce_A_goals,See above
OnIce_A_rebounds,See above
OnIce_A_reboundGoals,See above
OnIce_A_lowDangerShots,See above
OnIce_A_mediumDangerShots,See above
OnIce_A_highDangerShots,See above
OnIce_A_lowDangerxGoals,See above
OnIce_A_mediumDangerxGoals,See above
OnIce_A_highDangerxGoals,See above
OnIce_A_lowDangerGoals,See above
OnIce_A_mediumDangerGoals,See above
OnIce_A_highDangerGoals,See above
OnIce_A_scoreAdjustedShotsAttempts,See above
OnIce_A_unblockedShotAttempts,See above
OnIce_A_scoreAdjustedUnblockedShotAttempts,See above
OnIce_A_xGoalsFromxReboundsOfShots,See above
OnIce_A_xGoalsFromActualReboundsOfShots,See above
OnIce_A_reboundxGoals,See above
OnIce_A_xGoals_with_earned_rebounds,See above
OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,See above
OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,See above
OffIce_F_xGoals,See above
OffIce_A_xGoals,See above
OffIce_F_shotAttempts,See above
OffIce_A_shotAttempts,See above
xGoalsForAfterShifts,xGoals the player's team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to give credit to give players who leave the ice when the puck is going towards the opposing team's zone 
xGoalsAgainstAfterShifts,xGoals the opposing team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to identify players who shift off instead of backchecking
corsiForAfterShifts,Shot attempts the player's team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to give credit to give players who leave the ice when the puck is going towards the opposing team's zone 
corsiAgainstAfterShifts,Shot attempts the opposing team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to identify players who shift off instead of backchecking
fenwickForAfterShifts,Unblocked Shot attempts the player's team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to give credit to give players who leave the ice when the puck is going towards the opposing team's zone 
fenwickAgainstAfterShifts,Unblocked Shot attempts the opposing team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to identify players who shift off instead of backchecking
